time_s,frame_id,view,mode,status,rpm_inner,seg_omega,corona,voltage_v,current_a,power_w,field_sim_t,energy_density_j_m3,drive,excitation_pct,temperature_c,efficiency_pct,particle_flux,load_ohm
6.000023,60,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
6.100025,61,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
6.200026,62,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
6.300027,63,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
6.400029,64,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
6.500030,65,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
6.600031,66,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
6.700033,67,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
6.800034,68,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
6.900035,69,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.000037,70,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.100038,71,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.200039,72,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.300041,73,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.400042,74,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.500043,75,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.600045,76,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.700046,77,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.800047,78,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
7.900049,79,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.000050,80,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.100048,81,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.200047,82,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.300045,83,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.400043,84,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.500042,85,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.600040,86,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.700039,87,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.800037,88,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
8.900036,89,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.000034,90,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.100033,91,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.200031,92,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.300030,93,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.400028,94,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.500027,95,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.600025,96,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.700024,97,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.800022,98,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
9.900021,99,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
10.000019,100,seg,seg,operational,0.00,0.000000,0.000000,0.0000,0.000000,0.0000,0.352400,5.126662e+05,0.5000,50,25.00,85.00,0,100.0
